published_at,title,summary,source,overall_sentiment_score,overall_sentiment_label,relevance_score
20260216T065743,"Three things to watch in the week ahead: AU unemployment, BHP & JB Hi-Fi's earnings","This article highlights three key economic and corporate events to watch in Australia in the coming week: the release of January employment data, BHP's latest earnings report focusing on financials and capital allocation, and JB Hi-Fi's half-year earnings, which already beat market expectations despite concerns about tighter margins and easing sales growth. These events will provide insights into Australia's labor market, the mining giant's future investment strategies, and the retail sector's performance amidst changing economic conditions.",Proactive financial news,-0.08997,Neutral,1.000000
20260216T045634,Apple Reportedly Accepts Kioxia's Flash Memory Price Doubling and Quarterly Repricing,"Apple Inc. (AAPL.US) has reportedly agreed to contract terms with Kioxia (285A.JP) due to tight supply and rising prices of storage chips. Kioxia plans to double the unit procurement price of its NAND flash memory starting from Q1 2026, with quarterly adjustments thereafter. This agreement suggests that Apple may face ongoing cost pressures from increasing NAND prices despite securing short-term supply.",AASTOCKS.com,-0.296295,Somewhat-Bearish,1.000000
20260216T030331,"Lobbying Update: $2,840,000 of APPLE INC lobbying was just disclosed","A new Lobbying Disclosure Act filing for Q4 2025 reveals that Apple Inc. spent $2,840,000 on lobbying activities, covering a wide range of issues from financial services and tax matters to cybersecurity, patent policy, environmental commitments, and consumer privacy. The article also details recent congressional stock trading and insider trading activity related to AAPL, as well as significant hedge fund movements and analyst ratings for the company.",Quiver Quantitative,0.040035,Neutral,1.000000
20260215T225514,Is Apple (AAPL) John Overdeck's Top Pick?,"Apple Inc. (AAPL) is the third largest holding in John Overdeck's portfolio, representing a 2.79% share valued at $1.39 billion. While still a significant investment, it trails NVIDIA Corporation (NVDA) which remains his largest position. Recent developments for Apple include plans to allow third-party AI apps in CarPlay, moving beyond Siri-only, and upcoming product releases like the iPhone 17e and an iOS 26.4 beta.",Finviz - Stock Screener,0.186649,Somewhat-Bullish,1.000000
20260215T153200,'Taipei Is Home': Nvidia Seals The Deal On Massive New Taiwan Headquarters,"Nvidia Corp. is moving forward with plans for a major new headquarters in Taipei, reinforcing Taiwan's role as a global AI and semiconductor hub. The Taipei City Government has signed an agreement for Nvidia to build its headquarters in the Beitou-Shilin Technology Park, a project expected to cost over 40 billion New Taiwanese dollars (~$1.3 billion) and create over 10,000 jobs. This strategic expansion further strengthens the Nvidia-Taiwan Semiconductor Manufacturing Co. Ltd. supply chain as Nvidia has surpassed Apple as TSMC's largest customer due to the AI boom.",Yahoo Finance,0.482452,Bullish,1.000000
20260215T152408,"Apple (AAPL)'s A Free Rider, Says Jim Cramer","Jim Cramer continues to favor Apple Inc. (NASDAQ:AAPL), viewing it as a long-term investment rather than a trading stock. Despite recent stock fluctuations, analysts maintain positive ratings, focusing on the potential of Apple Intelligence. Cramer highlighted Apple's strategic partnership with Google for AI, calling the company ""the greatest free rider in history.""",Finviz,0.176315,Somewhat-Bullish,1.000000
20260215T151930,"Apple (AAPL)’s A Free Rider, Says Jim Cramer","Jim Cramer considers Apple (AAPL) a ""free rider"" due to its strategy of partnering with Google for AI development, thereby saving billions in investment. Despite a 4.5% stock increase over the past year, it's down 5.6% year-to-date. Analysts from Evercore ISI and Goldman Sachs maintain ""Outperform"" and ""Buy"" ratings respectively, with price targets of $330, citing the forthcoming Apple Intelligence AI platform and accelerating App Store spending.",Insider Monkey,0.150391,Somewhat-Bullish,1.000000
20260215T131020,Apple Inc. $AAPL is Turtle Creek Wealth Advisors LLC's 3rd Largest Position,"Turtle Creek Wealth Advisors LLC significantly increased its stake in Apple Inc. (NASDAQ:AAPL) by 47.8% in Q3, making it their third-largest holding. Despite the stock trading down approximately 2.3% due to mixed news, including Siri AI delays and an FTC probe, Apple reported strong quarterly earnings, beating analyst expectations with $2.84 EPS and $143.76B in revenue. The company also announced a quarterly dividend of $0.26 per share, and analysts maintain a ""Moderate Buy"" consensus rating with a target price of $292.13.",MarketBeat,0.029596,Neutral,1.000000
20260215T130422,"Spotify's Q4 Revenue Beat, Amazon's Super Bowl Ad Backlash, FTC's Letter To Apple And More: This Week In Tech","This article summarizes significant tech news from the past week, highlighting Spotify's strong Q4 revenue, Amazon's Super Bowl ad controversy over privacy, and the FTC's concerns about alleged political bias in Apple News. It also covers Elon Musk's criticism of AI startup Anthropic and Intel's penalty in India for a discriminatory warranty policy. These events reflect key financial, ethical, and regulatory challenges facing major tech companies.",Benzinga,-0.163296,Somewhat-Bearish,0.919264
20260215T114659,Apple Goes Full Netflix: The 'Severance' Deal Reveals Its Next Big Bet,"Apple is following Netflix's strategy of investing heavily in self-produced content by acquiring the rights and intellectual property for its hit series, ""Severance,"" for about $70 million. This move allows Apple to expand the show's universe and potentially make its previously unprofitable streaming service profitable. By producing more content in-house, Apple aims to reduce dependence on external studios and gain better control over its streaming future, mirroring Netflix's successful transition.",Yahoo Finance Singapore,0.063266,Neutral,0.815646
20260215T105608,"Royal Fund Management LLC Sells 7,270 Shares of Apple Inc. $AAPL","Royal Fund Management LLC reduced its stake in Apple Inc. by 18.3%, selling 7,270 shares and retaining 32,502 shares valued at $8.28 million, making Apple its 26th largest position. Apple recently exceeded quarterly earnings estimates with $2.84 EPS and $143.76 billion in revenue, also announcing a $0.26 quarterly dividend despite a 2.3% share price drop on the day. Investor sentiment for Apple is mixed, with a favorable legal ruling and analyst price target increases balanced by concerns over Siri AI delays, FTC scrutiny, and some institutional trimming.",MarketBeat,0.053963,Neutral,0.950990
20260215T104255,Tradewinds LLC. Has $20.36 Million Stake in Apple Inc. $AAPL,"Tradewinds LLC significantly increased its stake in Apple Inc. (NASDAQ:AAPL) by 2,755.2% during Q3, now owning 79,973 shares valued at $20.36 million, making Apple its third-largest holding. Apple reported strong quarterly earnings, beating analyst estimates with EPS of $2.84 and revenue of $143.76 billion. The consensus analyst rating for Apple is ""Moderate Buy"" with a target price of $292.13, although the company faces potential headwinds from AI upgrade delays and regulatory scrutiny.",MarketBeat,0.184291,Somewhat-Bullish,0.997042
20260215T104255,NorthCrest Asset Manangement LLC Raises Position in Apple Inc. $AAPL,"NorthCrest Asset Management LLC increased its stake in Apple Inc. (NASDAQ:AAPL) by 5.9% in the third quarter, making it their fourth-largest holding. This increase brings their total shares to 523,378, valued at $134.24 million. The news follows Apple's strong Q3 earnings, which surpassed analyst expectations with $2.84 EPS and $143.76 billion in revenue.",MarketBeat,0.194216,Somewhat-Bullish,1.000000
20260215T090734,"VOO Today, February 15: S&P 500 ETF in Focus as Vanguard Buzz Builds","The VOO ETF is drawing attention from UK investors looking to align their core US equity exposure with GBP goals. This article provides an overview of VOO, including its price, yield, and technical indicators, and compares it with Vanguard VV. It also offers insights into selecting between the two ETFs while considering UK-specific factors like currency risk and platform access.",Meyka,0.144286,Neutral,0.982957
20260215T085922,"Envestnet Asset Management Inc. Has $19.79 Million Stock Holdings in Skyworks Solutions, Inc. $SWKS","Envestnet Asset Management Inc. significantly reduced its stake in Skyworks Solutions, Inc. (SWKS) by 51.2% in the third quarter, bringing its current holdings to 257,092 shares valued at $19.79 million. Despite Skyworks beating Q1 earnings and revenue estimates, analysts have lowered price targets, and the stock currently has a ""Hold"" consensus rating with an average target price of $70.50. The company offers a quarterly dividend with a 4.6% yield, but its payout ratio is over 100%.",MarketBeat,-0.039626,Neutral,1.000000
20260215T084214,Apple Inc. $AAPL is Arkadios Wealth Advisors' 2nd Largest Position,"Arkadios Wealth Advisors has increased its stake in Apple Inc. ($AAPL) by 5.3% in Q3, making it their second-largest holding, valued at approximately $109.68 million. The company reported strong Q3 earnings, surpassing analyst expectations with $2.84 EPS and $143.76 billion in revenue. Despite positive signs like increased price targets and a legal victory, Apple faces near-term risks including Siri AI delays, FTC scrutiny, and recent institutional selling.",MarketBeat,0.226004,Somewhat-Bullish,1.000000
